key,value,date
Regular,0,06-Sep-13
Regular,96,03-Oct-13
Regular,97,10-Oct-13
Regular,928,28-Oct-13
Vesting member,0,06-Sep-13
Vesting member,46,03-Oct-13
Vesting member,156,10-Oct-13
Vesting member,317,28-Oct-13
Vesting manager,0,06-Sep-13
Vesting manager,43,03-Oct-13
Vesting manager,49,10-Oct-13
Vesting manager,63,28-Oct-13
Librarian,0,06-Sep-13
Librarian,19,03-Oct-13
Librarian,20,10-Oct-13
Librarian,25,28-Oct-13
Registrar member,0,06-Sep-13
Registrar member,6,03-Oct-13
Registrar member,6,10-Oct-13
Registrar member,6,28-Oct-13
